,UserID,Strain,Ar_tau,Ar_Rho,Fe_tau,Fe_Rho,X0.1Gy_tau,X1Gy_tau,X1Gy_RIF_inter,X4Gy_tau,X4Gy_RIF_inter
1,202CC,CC002,4.590100463,0.891073574,7.194794831,0.898805378,2.645945916,11.71580088,4.338533808,29.83652884,4.328786183
2,208CC,CC002,4.540851643,0.842702166,5.35229097,0.932767749,3.360986397,12.09013814,4.187409851,22.2768194,6.223652535
3,213CC,CC013,5.470509699,0.906070693,6.452191672,0.942944419,1.972904307,8.840100312,2.901011236,42.3250415,1.919469589
4,220CC,CC037,6.671272083,0.888624139,6.89416956,0.844607789,,,,,
5,226CC,CC013,5.519159665,0.908021069,4.61820861,0.862574561,2.087808372,12.43040698,2.386958507,23.90395653,3.890279928
6,233CC,CC032,6.454867226,0.909855259,5.592451091,0.925332878,2.757806653,11.11311137,3.721957831,37.54740853,3.033286465
7,235CC,CC013,4.079994953,0.843447145,5.464777595,0.911095671,2.005373798,15.60607174,1.392244607,28.23411947,2.992861221
8,236CC,CC013,4.413996662,0.778379797,6.025353423,0.939232412,2.187376183,10.75649291,3.250517025,23.53848678,4.114400229
9,239CC,CC037,5.553561461,0.855569466,6.220843556,0.85496388,,,,,
10,247CC,CC002,4.583084356,0.884962488,6.55103415,0.900692928,2.867498,8.271451788,4.680796713,47.44748418,1.82053111
11,251CC,CC011,6.462743556,0.871546569,7.605720742,0.955882058,3.304924087,9.26621381,4.564489233,41.7292979,2.596508885
12,253CC,CC013,3.688809128,0.870630229,5.546536605,0.881036274,1.983565285,10.23825091,2.388272579,41.55614544,1.882249683
13,254CC,CC011,5.090739418,0.88255364,7.581396901,0.973781911,2.311632576,8.80594935,4.012802567,24.90575646,4.640301348
14,255CC,CC061,7.206129461,0.884311102,6.041064991,0.923936318,2.354706795,8.612126565,3.776274639,26.99725422,3.04754589
15,256CC,CC061,4.827810992,0.889447766,6.826276613,0.912848107,2.892719764,9.774888686,3.52161991,40.0184335,2.113915417
16,257CC,CC061,3.539144194,0.880071031,5.528652042,0.872575508,2.689022955,9.346335487,4.022174472,,
17,258CC,CC040,4.80617721,0.916172526,4.92295762,0.917462646,1.662832345,5.491858938,3.097681592,17.83182321,2.205852201
18,260CC,CC061,5.45038795,0.866675408,7.258454025,0.929932356,2.790797727,9.345300797,4.781090713,28.13742126,3.152104593
19,261CC,CC042,6.287121302,0.952742395,5.604676141,0.90047711,1.722042407,9.818350206,2.855423778,31.14019959,2.263501294
20,263CC,CC037,3.221698266,0.896439401,6.739990722,0.876924529,2.775156107,10.12424512,3.721679353,24.37605843,4.301434187
21,280CC,CC051,7.339767753,0.92870086,5.835895707,0.912682653,1.400392038,10.49462863,2.172587094,43.19546985,1.753222739
22,882CC,CC037,4.159542327,0.8139878,8.988548287,0.920707884,2.072689381,9.585357677,3.667228177,16.94453758,3.750151758
23,893CC,CC061,3.822707321,0.896312956,7.218569768,0.979602176,2.592555132,11.10803758,3.429684909,29.08299905,4.184461305
24,894CC,CC037,3.776448429,0.948968123,8.35327204,0.988024173,2.483040412,9.178022574,3.931889084,30.30465632,3.468242191
25,903CC,CC032,9.833041009,0.982719744,7.590032506,0.977870247,,,,,
26,906CC,CC032,7.822086405,0.927178675,6.18641592,0.915282488,2.220327617,9.492256216,3.063136857,22.60787288,2.963018773
27,907CC,CC002,6.261463164,0.853656939,9.768967895,0.906776636,2.678964318,9.102041374,5.501389491,,
28,915CC,CC042,5.418180382,0.874165911,6.914369582,0.864786347,2.989901659,9.303113975,3.960519506,21.53846424,5.807181505
29,919CC,CC019,3.533568189,0.899841342,5.576559435,0.948892909,1.715528231,8.193466206,2.151490571,17.90722976,2.076562053
30,921CC,CC051,3.841088208,0.907303711,5.611905111,0.892359288,2.103298789,8.944904263,3.491016057,26.75710497,2.489963522
31,922CC,CC051,4.195810373,0.969939394,6.748497732,0.868856287,2.484959401,9.169311364,3.942839618,18.98768661,3.87793146
32,923CC,CC051,4.922597492,0.995607883,6.889991569,0.913630724,0.924009352,14.14771318,1.824553813,17.31294942,2.068388924
33,925CC,CC019,5.119888954,0.93720464,4.993754488,0.943283922,1.890643484,14.39775704,2.0584036,18.31932175,1.665826052
34,927CC,CC019,4.318950535,0.891244124,6.17859041,0.961646406,1.999633584,7.328118096,2.852642246,21.59580345,1.505931923
35,928CC,CC019,4.369348435,0.91636109,5.592902403,0.942294975,2.001232946,10.77313523,1.869879446,34.47783903,1.651580838
36,934CC,CC011,5.303876038,0.949472165,6.708508908,0.930137641,2.146130177,10.44106991,2.978772397,13.29424782,5.008931997
37,937CC,CC011,6.770097924,0.916874563,5.351999735,0.867307157,2.193432209,10.3010295,2.344652951,16.20337952,3.521490336
38,938CC,CC011,5.35279179,0.900998076,6.978032081,0.927880895,2.605932408,9.242204993,3.230946503,29.26976843,2.417723502
39,942CC,CC013,4.793769333,0.918601348,5.147111115,0.909513208,2.287531727,8.607130817,3.716642439,16.41848338,3.587064192
40,946CC,CC037,3.160177093,0.895192505,8.45129313,0.891908221,2.521846094,13.25461675,3.705055759,16.5120705,6.317720197
41,951CC,CC040,5.174169496,0.849751534,6.120557274,0.884029153,2.437912871,10.02517752,2.686221946,17.61527549,4.738384202
42,954CC,CC040,6.367987296,0.881243627,6.078780583,0.957492536,2.343728784,8.764465731,3.868741703,32.12822514,3.597448081
43,B6C3F1,B6C3,4.80251532,0.887980483,6.956515005,0.863428238,3.374525272,8.620630103,4.966347428,22.46078458,3.331504984
44,B6C3F2,B6C3,5.21188922,0.892107139,7.197038915,0.875000372,3.206032038,9.272855543,4.854876655,30.07979977,3.239919855
45,B6C3F3,B6C3,7.231878653,0.926146819,7.288445955,0.899980171,2.687213951,8.847697371,3.720913078,16.49573452,3.754605953
46,B6C3M1,B6C3,4.595525304,0.869681481,6.395842056,0.847857693,3.201018501,10.13943372,3.628278465,41.70141293,2.270289216
47,B6C3M2,B6C3,4.650909314,0.846119317,7.325276732,0.888339724,2.699085698,8.49562621,3.978399752,12.5275055,5.538021747
48,B6C3M3,B6C3,5.903667466,0.855864275,6.761991623,0.852376377,3.007196665,9.111449912,3.778680861,14.92971752,4.553408968
49,BALBCF,BALBC,10.04953404,0.852816011,9.544696452,0.921289441,2.622267481,10.75166205,4.447778178,22.52398465,4.930354068
50,BALBCF1,BALBC,5.834133779,0.858710275,9.333439446,0.982450025,2.481830305,9.452527919,4.300033564,32.02237018,3.549758662
51,BALBCF2,BALBC,6.371269023,0.911540639,7.795148923,0.966909248,2.262223954,4.678401977,6.362802661,,
52,BALBCM1,BALBC,7.149259948,0.907533766,6.269532801,0.938728711,2.338054819,9.900061883,3.371872531,25.08762854,3.880131927
53,BALBCM2,BALBC,6.442404218,0.906249449,8.307337058,1.004337035,2.228383847,14.15046636,3.250693978,60.4392024,3.360514609
54,BALBCM3,BALBC,8.426203026,0.913218152,5.246231834,0.860523854,,,,,
55,C3HF1,C3H,7.084440831,0.913692337,7.439319211,0.874973048,2.638730827,14.01968433,2.872144879,35.91181865,4.27296904
56,C3HF2,C3H,5.869323159,0.864104629,8.585513978,0.886374409,2.851697426,11.43661301,3.23728899,,
57,C3HF3,C3H,7.686451664,0.867734699,8.601905685,0.887853507,2.864253597,12.4496142,3.087538486,30.15128938,3.938754667
58,C3HM1,C3H,4.36995331,0.904069711,5.78604769,0.844350303,,,,,
59,C3HM2,C3H,4.842478641,0.867851543,7.757060677,0.858234139,2.809210093,11.06131204,4.213963029,30.39480367,5.142757076
60,C3HM3,C3H,5.991272358,0.891076337,7.189093503,0.848953357,2.845678541,10.2625318,4.405855631,17.60774618,8.300046145
61,C57BLF1,C57,7.002839604,0.866769296,6.268721938,0.909507698,2.52138285,9.742719425,3.965476533,22.72731569,4.213459335
62,C57BLF2,C57,6.973799732,0.837577543,9.801609917,0.90527989,2.667585031,8.947205262,4.047503476,21.59610948,4.543175663
63,C57BLF3,C57,4.13021656,0.889116799,6.474367621,0.857885254,2.991245772,8.98763647,4.902810735,21.17860302,5.039098892
64,C57BLM1,C57,4.314867679,0.913817881,6.013117811,0.870996234,2.863479276,7.425024397,5.408083059,16.13374416,4.65214352
65,C57BLM2,C57,3.290356905,0.867849658,5.805578807,0.827533529,2.600798258,6.692668195,4.403107227,24.84179727,2.470117283
66,C57BLM3,C57,4.769204384,0.874174982,5.359357854,0.804481786,2.41855908,10.21805037,3.387691969,33.13544407,2.705253029
67,CBAF1,CBA,7.246417463,0.892675308,7.336697518,0.826033023,2.721860187,10.48977965,4.473679775,15.20358137,10.92392081
68,CBAF2,CBA,7.835813953,0.887571131,7.51320672,0.857291728,3.329498869,10.10318244,5.462665277,21.03034764,6.543547947
69,CBAF3,CBA,7.065935643,0.896661851,8.200050233,0.896565569,2.85903013,10.9478587,4.473269356,24.16580316,6.177276395
70,CBAM1,CBA,5.223594733,0.91132377,6.637877624,0.868819351,3.707839863,8.644024865,6.597841693,26.21958145,5.358798344
71,CBAM2,CBA,4.39753612,0.870516413,6.983482915,0.882291907,3.722592438,11.20433339,5.381280301,21.25378614,7.510333491
72,CBAM3,CBA,5.438431194,0.866258159,8.397620754,0.901517722,2.707984094,9.498064606,5.659695158,49.53826486,2.93816263
